Occupation,Total_employed_2024,Women_2024,White_2024,Black_or_African_American_2024,Asian_2024,Hispanic_or_Latino_2024,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022,Total_employed_2021,Women_2021,White_2021,Black_or_African_American_2021,Asian_2021,Hispanic_or_Latino_2021,Total_employed_2020,Women_2020,White_2020,Black_or_African_American_2020,Asian_2020,Hispanic_or_Latino_2020
Administrative services managers,87,74.6,80.8,9.8,7.1,11.4,78,74.0,71.9,11.9,7.2,15.2,69,78.2,82.1,9.4,4.8,17.3,100,68.0,89.3,3.5,4.4,7.2,95,66.4,91.0,4.3,2.3,7.6
Facilities managers,142,21.5,79.9,13.0,6.3,8.5,149,23.4,86.0,11.1,1.5,9.4,129,19.3,92.0,6.1,1.1,17.8,60,79.0,84.0,13.3,1.5,9.9,65,71.7,83.4,9.5,6.5,16.9
Computer and information systems managers,732,30.1,71.9,6.7,19.5,8.2,793,27.7,72.3,7.9,17.7,9.6,764,26.4,72.6,7.8,16.5,7.5,146,21.3,90.5,7.4,0.2,14.5,134,25.0,90.1,4.9,2.4,12.6
Financial managers,"1,445",53.4,77.4,10.2,9.5,10.6,"1,411",56.2,77.7,10.1,9.9,11.9,"1,380",55.7,78.5,9.6,9.3,10.1,715,26.7,72.4,7.2,17.8,7.3,744,26.6,75.5,7.0,15.5,5.2
Compensation and benefits managers,13,–,–,–,–,–,16,–,–,–,–,–,18,–,–,–,–,–,"1,307",54.6,78.5,9.0,9.0,10.4,"1,309",52.6,79.4,9.7,8.2,9.9
Human resources managers,306,76.1,78.9,13.1,5.1,14.8,335,76.5,76.7,14.7,5.4,12.8,295,72.9,81.5,12.0,4.0,11.6,16,–,–,–,–,–,18,–,–,–,–,–
Training and development managers,62,65.8,88.1,7.8,0.0,9.8,62,48.0,83.8,12.3,1.4,4.2,63,48.7,86.4,6.2,6.6,4.4,273,80.8,78.9,12.3,6.4,12.5,287,76.8,81.0,12.0,4.9,14.0
Industrial production managers,290,23.8,81.1,8.5,7.6,14.9,279,19.1,83.5,6.3,8.4,14.3,281,22.5,84.0,6.7,6.7,12.9,55,59.9,90.9,4.1,3.4,12.0,52,55.8,85.4,9.2,0.2,10.1
Purchasing managers,221,47.5,83.0,8.0,5.5,8.6,241,47.7,74.5,16.1,8.0,7.3,234,45.5,78.2,11.5,7.5,8.4,256,24.1,82.8,5.7,9.3,10.9,272,22.6,84.3,5.9,7.2,13.5
"Transportation, storage, and distribution managers",380,21.8,77.2,13.5,6.2,14.8,382,21.4,78.4,13.1,5.1,13.5,351,22.6,85.1,8.9,3.4,17.2,232,45.9,82.3,8.5,6.7,8.2,212,45.8,83.2,12.1,3.1,7.3
"Farmers, ranchers, and other agricultural managers",858,27.0,96.0,1.4,0.5,6.5,876,27.4,96.2,1.4,0.8,6.4,946,23.9,94.8,1.5,0.6,6.6,314,22.4,82.5,10.7,3.7,16.3,300,21.3,79.3,10.7,6.1,17.2
Construction managers,"1,251",10.5,89.4,4.8,2.8,17.6,"1,136",10.6,89.8,4.8,2.0,16.1,"1,057",8.5,89.8,5.3,2.6,16.2,875,26.3,94.8,1.5,0.9,6.0,901,25.1,96.3,0.7,0.8,4.3
Education and childcare administrators,"1,006",66.2,78.0,16.0,3.5,10.3,"1,108",68.6,75.4,15.5,5.7,12.0,988,68.1,78.0,16.3,4.0,9.8,999,8.6,90.8,5.1,1.7,16.3,966,8.4,91.4,3.3,2.9,14.5
Architectural and engineering managers,201,10.6,75.8,5.2,17.5,8.1,206,12.8,73.2,5.4,18.4,9.5,202,13.3,76.5,6.7,14.3,9.6,956,65.5,79.8,14.0,3.3,9.7,948,66.5,79.5,14.3,3.3,12.0
Food service managers,"1,192",48.8,75.1,10.1,10.8,21.3,"1,198",46.7,73.1,11.5,12.2,19.3,"1,153",46.3,71.2,13.0,11.2,19.5,178,11.5,79.9,4.5,15.0,7.2,171,9.5,84.2,3.4,9.5,4.7
Funeral home managers,14,–,–,–,–,–,10,–,–,–,–,–,8,–,–,–,–,–,"1,133",48.5,74.7,11.0,10.4,19.5,"1,092",46.6,77.7,9.8,9.4,19.8
Entertainment and recreation managers,72,46.2,80.0,7.8,3.3,28.8,81,50.1,82.4,7.1,4.5,24.2,65,41.5,87.4,7.1,1.6,8.6,9,–,–,–,–,–,10,–,–,–,–,–
