Occupation,Number_of_workers_2024,Median_weekly_earnings_2024,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022,Number_of_workers_2021,Median_weekly_earnings_2021,Number_of_workers_2020,Median_weekly_earnings_2020
Computer systems analysts,489,"1,664",485,"1,701",457,"1,674",423,"1,489",529,"1,515"
Information security analysts,232,"2,424",209,"2,133",156,"2,076",145,"1,874",125,"2,078"
Computer programmers,325,"1,836",375,"1,889",422,"1,772",387,"1,734",388,"1,653"
Software developers,"2,017","2,475","2,104","2,283","1,976","2,282","1,875","1,922","1,742","1,920"
Software quality assurance analysts and testers,75,"1,725",73,"1,751",79,"1,731",70,"1,550",94,"1,697"
Web developers,41,–,57,"2,197",70,"1,445",59,"1,327",78,"1,554"
Web and digital interface designers,55,"1,883",59,"1,423",52,"1,513",40,–,52,"1,158"
Computer support specialists,585,"1,465",616,"1,424",635,"1,312",620,"1,256",584,"1,147"
Database administrators and architects,136,"2,492",108,"2,113",144,"1,829",103,"1,879",107,"1,725"
Network and computer systems administrators,163,"1,485",200,"1,670",210,"1,589",205,"1,505",235,"1,438"
Computer network architects,140,"2,104",97,"1,913",90,"1,909",104,"1,990",93,"1,902"
"Computer occupations, all other","1,077","1,594","1,104","1,597",864,"1,431",787,"1,413",716,"1,394"
Actuaries,35,–,45,–,34,–,30,–,24,–
Mathematicians,5,–,4,–,2,–,2,–,2,–
Operations research analysts,164,"1,609",142,"1,917",136,"1,630",126,"1,574",154,"1,615"
Statisticians,70,"2,096",44,–,52,"1,595",37,–,53,"1,572"
Other mathematical science occupations,330,"1,842",369,"1,595",321,"1,549",213,"1,458",68,"1,416"
Architecture and engineering occupations,"3,303","1,873","3,374","1,785","3,224","1,735","2,985","1,641","2,933","1,575"
"Architects, except landscape and naval",162,"1,954",162,"1,831",139,"1,664",151,"1,642",136,"1,537"
Landscape architects,10,–,19,–,15,–,19,–,15,–
"Surveyors, cartographers, and photogrammetrists",37,–,37,–,26,–,34,–,38,–
Aerospace engineers,187,"2,303",177,"2,071",149,"1,914",125,"1,863",121,"1,939"
Agricultural engineers,2,–,4,–,4,–,8,–,6,–
Bioengineers and biomedical engineers,19,–,27,–,20,–,15,–,22,–
Chemical engineers,72,"2,005",86,"2,285",65,"1,834",76,"1,875",70,"1,862"
Civil engineers,471,"1,850",479,"1,752",442,"1,727",403,"1,633",370,"1,611"
Computer hardware engineers,79,"2,287",69,"2,277",89,"2,277",86,"2,006",84,"1,889"
Electrical and electronics engineers,266,"2,179",244,"2,056",299,"1,864",286,"1,899",243,"1,864"
Environmental engineers,33,–,29,–,43,–,32,–,26,–
"Industrial engineers, including health and safety",258,"1,878",278,"1,740",200,"1,773",221,"1,648",225,"1,584"
Marine engineers and naval architects,22,–,11,–,10,–,15,–,18,–
Materials engineers,39,–,52,"2,220",40,–,49,–,52,"1,586"
Mechanical engineers,370,"2,009",423,"1,890",418,"1,816",329,"1,660",348,"1,713"
"Mining and geological engineers, including mining safety engineers",5,–,9,–,4,–,9,–,15,–
Nuclear engineers,8,–,4,–,9,–,11,–,9,–
Petroleum engineers,22,–,10,–,21,–,11,–,18,–
"Engineers, all other",668,"1,944",620,"1,938",613,"1,909",602,"1,771",543,"1,746"
Architectural and civil drafters,38,–,23,–,50,"1,176",29,–,34,–
Other drafters,71,"1,353",73,"1,326",73,"1,120",90,"1,280",77,"1,126"
Electrical and electronic engineering technologists and technicians,86,"1,437",93,"1,429",80,"1,131",62,"1,243",81,"1,172"
"Other engineering technologists and technicians, except drafters",339,"1,278",359,"1,217",343,"1,312",275,"1,245",340,"1,119"
Surveying and mapping technicians,39,–,83,"1,001",73,948,50,796,43,–
"Life, physical, and social science occupations","1,539","1,611","1,583","1,541","1,508","1,463","1,391","1,407","1,401","1,336"
Agricultural and food scientists,26,–,22,–,10,–,30,–,26,–
Biological scientists,92,"1,493",104,"1,404",104,"1,442",89,"1,317",72,"1,141"
Conservation scientists and foresters,20,–,29,–,28,–,19,–,11,–
Medical scientists,125,"1,901",138,"1,826",135,"1,544",116,"1,662",114,"1,612"
"Life scientists, all other",4,–,8,–,18,–,8,–,7,–
Astronomers and physicists,18,–,24,–,21,–,19,–,19,–
Atmospheric and space scientists,5,–,13,–,10,–,9,–,9,–
Chemists and materials scientists,83,"2,093",96,"1,913",73,"1,500",90,"1,647",83,"1,362"
"Environmental scientists and specialists, including health",43,–,49,–,28,–,39,–,39,–
"Geoscientists and hydrologists, except geographers",25,–,31,–,40,–,42,–,43,–
"Physical scientists, all other",432,"1,804",399,"1,731",379,"1,764",332,"1,738",324,"1,438"
Economists,30,–,22,–,26,–,20,–,26,–
Survey researchers,1,–,3,–,1,–,1,–,5,–
Clinical and counseling psychologists,8,–,5,–,9,–,4,–,8,–
School psychologists,44,–,46,–,37,–,51,"1,343",34,–
Other psychologists,60,"1,998",65,"1,726",60,"1,511",56,"1,493",63,"1,435"
Sociologists,3,–,6,–,4,–,4,–,3,–
Urban and regional planners,39,–,34,–,26,–,21,–,47,–
Miscellaneous social scientists and related workers,28,–,42,–,50,"1,238",47,–,39,–
Agricultural and food science technicians,35,–,34,–,40,–,37,–,38,–
Biological technicians,22,–,26,–,19,–,14,–,22,–
Chemical technicians,59,"1,233",58,"1,377",49,–,39,–,64,"1,039"
Environmental science and geoscience technicians,20,–,13,–,10,–,12,–,18,–
Nuclear technicians,8,–,8,–,4,–,4,–,6,–
Social science research assistants,6,–,4,–,3,–,5,–,3,–
"Other life, physical, and social science technicians",240,"1,180",240,"1,306",245,"1,240",213,"1,093",202,"1,074"
Occupational health and safety specialists and technicians,64,"1,421",63,"1,437",79,"1,500",70,"1,325",77,"1,444"
Community and social service occupations,"2,390","1,163","2,334","1,147","2,378","1,128","2,276","1,065","2,187","1,003"
Substance abuse and behavioral disorder counselors,99,"1,122",103,"1,138",112,945,110,969,99,950
"Educational, guidance, and career counselors and advisors",332,"1,191",338,"1,167",362,"1,157",296,"1,091",294,"1,080"
Marriage and family therapists,13,–,14,–,12,–,26,–,22,–
Mental health counselors,114,"1,257",123,"1,316",103,"1,150",139,"1,140",86,"1,066"
Rehabilitation counselors,8,–,13,–,19,–,9,–,24,–
