Occupation,Total_employed_2023,Women_2023,White_2023,Black_or_African_American_2023,Asian_2023,Hispanic_or_Latino_2023,Total_employed_2022,Women_2022,White_2022,Black_or_African_American_2022,Asian_2022,Hispanic_or_Latino_2022
Protective service occupations,"3,105",24.1,70.2,22.3,3.2,16.1,"3,057",23.2,71.7,20.9,2.9,14.7
First-line supervisors of correctional officers,61,35.9,76.4,21.0,1.2,19.6,47,–,–,–,–,–
First-line supervisors of police and detectives,103,10.5,86.4,12.0,0.3,10.7,91,15.7,88.0,4.9,0.4,18.6
First-line supervisors of firefighting and prevention workers,50,6.1,89.1,5.0,3.9,4.8,63,9.4,92.0,8.0,0.0,9.7
First-line supervisors of security workers,71,22.5,61.1,31.6,2.9,12.0,74,21.1,69.2,24.5,2.1,11.7
"First-line supervisors of protective service workers, all other",4,–,–,–,–,–,3,–,–,–,–,–
Firefighters,296,3.9,88.0,8.0,1.3,16.7,307,6.2,85.5,9.9,1.5,15.2
Fire inspectors,23,–,–,–,–,–,35,–,–,–,–,–
Bailiffs,17,–,–,–,–,–,23,–,–,–,–,–
Correctional officers and jailers,300,33.9,64.5,27.1,3.5,12.8,285,29.9,63.7,27.3,4.2,12.8
Detectives and criminal investigators,145,26.3,77.3,16.7,2.3,9.7,142,27.6,80.2,12.4,3.2,10.5
Fish and game wardens,6,–,–,–,–,–,8,–,–,–,–,–
Parking enforcement workers,7,–,–,–,–,–,7,–,–,–,–,–
Police officers,702,14.4,81.4,14.2,2.8,16.7,746,12.7,78.3,16.7,2.5,13.1
Animal control workers,10,–,–,–,–,–,9,–,–,–,–,–
Private detectives and investigators,123,43.0,73.5,19.2,3.1,10.4,105,38.5,83.4,11.0,2.1,13.9
Security guards and gambling surveillance officers,925,24.9,53.0,36.1,4.4,20.2,835,24.3,54.9,34.5,4.5,16.6
Crossing guards and flaggers,51,55.8,74.0,20.0,4.2,10.7,48,–,–,–,–,–
Transportation security screeners,47,–,–,–,–,–,37,–,–,–,–,–
School bus monitors,26,–,–,–,–,–,45,–,–,–,–,–
Other protective service workers,137,45.7,78.1,8.7,3.9,13.1,147,48.9,89.6,2.0,0.4,16.6
Food preparation and serving related occupations,"8,189",53.9,73.4,13.5,6.9,29.6,"7,907",53.3,73.2,13.9,6.7,28.1
Chefs and head cooks,476,23.3,58.8,18.9,18.5,20.7,465,26.9,63.3,15.8,15.7,22.7
First-line supervisors of food preparation and serving workers,542,53.5,75.6,17.0,3.3,22.8,491,54.5,74.3,18.0,4.2,22.9
Cooks,"2,016",39.8,69.1,17.2,7.0,39.6,"2,012",38.4,69.4,17.7,5.9,36.1
Food preparation workers,933,58.7,71.1,15.5,4.9,29.8,932,55.1,72.1,15.2,5.9,30.3
Bartenders,408,50.8,85.9,7.3,3.1,22.3,457,59.0,82.0,7.7,2.0,21.1
Fast food and counter workers,885,66.3,77.6,10.0,5.2,24.6,784,64.2,70.7,12.7,7.7,21.4
Waiters and waitresses,"1,805",68.8,75.5,9.9,8.5,26.4,"1,762",68.2,77.9,9.7,8.3,24.5
"Food servers, nonrestaurant",215,69.2,69.7,18.9,6.9,24.9,200,71.9,69.9,21.9,6.8,23.5
Dining room and cafeteria attendants and bartender helpers,303,43.3,81.3,9.7,4.6,32.6,269,45.4,76.0,10.0,4.7,35.0
Dishwashers,268,23.1,73.1,14.5,4.0,37.9,235,20.2,70.9,18.9,3.3,32.8
"Hosts and hostesses, restaurant, lounge, and coffee shop",327,86.5,80.6,8.2,5.1,25.9,293,84.0,81.8,7.2,5.2,27.4
"Food preparation and serving related workers, all other",9,–,–,–,–,–,9,–,–,–,–,–
Building and grounds cleaning and maintenance occupations,"5,534",42.1,78.1,14.3,2.7,41.6,"5,576",42.0,78.7,14.0,3.1,40.4
First-line supervisors of housekeeping and janitorial workers,321,44.1,77.2,17.3,2.1,31.8,314,42.5,76.8,18.6,2.4,28.4
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",283,8.0,84.7,12.0,1.4,30.4,281,8.2,83.4,11.9,1.1,29.1
Janitors and building cleaners,"2,204",38.7,76.2,16.7,2.6,35.1,"2,183",40.2,75.4,17.4,3.2,34.6
Maids and housekeeping cleaners,"1,380",88.4,74.0,16.1,4.3,51.9,"1,364",88.1,75.6,15.7,4.3,51.0
Pest control workers,90,5.1,84.7,9.2,1.7,21.6,100,6.0,87.3,7.7,3.6,23.5
Landscaping and groundskeeping workers,"1,119",7.3,84.0,8.6,1.7,49.6,"1,213",7.2,85.2,7.1,2.3,46.5
Tree trimmers and pruners,118,3.0,85.3,5.5,1.6,36.7,104,7.2,96.0,1.7,0.0,35.6
Other grounds maintenance workers,19,–,–,–,–,–,18,–,–,–,–,–
Personal care and service occupations,"4,220",74.8,71.9,13.5,10.5,19.8,"3,968",77.1,73.8,12.2,9.9,18.3
Supervisors of personal care and service workers,253,65.8,65.3,10.6,20.5,11.2,232,77.8,68.7,13.8,14.2,12.0
Animal trainers,82,69.1,86.9,4.1,0.0,22.0,66,67.6,93.5,0.0,2.0,5.4
Animal caretakers,361,76.0,87.8,6.0,1.3,16.5,305,76.9,88.1,3.6,3.3,12.8
Gambling services workers,90,40.2,52.5,22.4,16.3,14.1,74,41.5,66.1,8.3,20.6,7.8
"Ushers, lobby attendants, and ticket takers",34,–,–,–,–,–,39,–,–,–,–,–
Other entertainment attendants and related workers,231,42.9,76.7,14.0,6.4,14.8,237,46.2,79.5,10.3,4.5,19.5
"Embalmers, crematory operators, and funeral attendants",21,–,–,–,–,–,28,–,–,–,–,–
"Morticians, undertakers, and funeral arrangers",45,–,–,–,–,–,36,–,–,–,–,–
Barbers,149,28.4,61.5,31.1,4.6,39.3,123,24.8,58.4,27.1,9.8,40.4
"Hairdressers, hairstylists, and cosmetologists",717,92.1,77.0,13.2,6.8,18.0,720,93.1,78.6,13.7,6.0,18.8
Manicurists and pedicurists,324,83.5,23.8,6.4,64.8,13.7,295,85.1,24.5,7.6,65.4,15.2
Skincare specialists,102,99.0,72.7,17.7,3.4,25.6,96,98.7,78.8,4.4,7.5,21.5
Other personal appearance workers,21,–,–,–,–,–,30,–,–,–,–,–
"Baggage porters, bellhops, and concierges",78,29.1,65.5,20.2,11.0,34.7,78,35.7,71.7,20.0,6.9,16.1
Tour and travel guides,55,48.2,85.4,3.6,8.0,9.1,58,47.9,84.9,6.3,4.1,5.9
Childcare workers,"1,036",93.8,76.5,15.8,3.8,25.9,"1,007",94.3,77.6,13.5,3.7,23.9
Exercise trainers and group fitness instructors,257,56.7,78.9,10.9,6.2,16.8,234,62.9,81.8,11.1,3.5,12.8
Recreation workers,182,58.9,74.9,17.7,2.5,12.9,158,61.2,79.5,15.1,1.8,11.8
Residential advisors,40,–,–,–,–,–,28,–,–,–,–,–
"Personal care and service workers, all other",143,60.7,79.2,8.3,7.8,20.9,122,64.7,85.1,7.6,4.0,19.9
,,,,,,,,,,,,
Sales and office occupations,"30,279",60.6,77.3,13.5,5.5,17.6,"30,412",61.3,77.7,13.1,5.4,17.8
Sales and related occupations,"14,325",48.7,78.8,11.7,6.1,16.6,"14,316",49.4,79.6,11.0,5.7,17.4
First-line supervisors of retail sales workers,"3,157",44.6,78.6,11.1,6.8,14.2,"3,081",45.2,78.5,10.8,6.7,15.9
First-line supervisors of non-retail sales workers,"1,268",35.9,83.8,8.3,6.2,16.4,"1,203",35.2,82.5,7.7,6.5,15.5
Cashiers,"2,576",69.8,69.9,16.3,8.1,22.7,"2,712",71.8,71.9,16.2,6.6,24.4
Counter and rental clerks,79,38.7,73.0,17.8,7.0,22.5,83,40.8,88.1,8.0,1.6,23.8
Parts salespersons,117,22.9,91.7,5.4,1.2,16.2,108,16.9,93.9,3.0,0.5,19.7
Retail salespersons,"2,721",49.2,77.6,13.4,5.2,19.6,"2,582",49.4,79.6,12.1,4.6,18.8
Advertising sales agents,111,52.7,89.6,7.3,2.7,8.4,130,52.1,85.6,7.8,5.4,9.9
Insurance sales agents,632,54.9,80.6,13.3,4.1,18.2,614,49.2,78.2,13.5,4.3,16.8
"Securities, commodities, and financial services sales agents",249,24.6,80.7,8.6,9.0,11.8,226,30.3,83.8,6.5,9.1,9.3
Travel agents,77,79.7,85.3,9.2,5.5,16.0,71,81.9,78.1,14.7,6.7,6.9
"Sales representatives of services, except advertising, insurance, financial services, and travel",638,31.6,82.7,10.7,4.1,10.1,615,29.0,86.3,6.2,4.5,10.8
"Sales representatives, wholesale and manufacturing","1,152",27.9,87.8,6.0,4.1,11.0,"1,155",28.7,87.5,6.3,4.3,13.5
"Models, demonstrators, and product promoters",33,–,–,–,–,–,23,–,–,–,–,–
Real estate brokers and sales agents,"1,031",57.0,81.4,8.8,6.6,11.2,"1,182",56.9,82.4,8.4,5.7,13.5
Sales engineers,41,–,–,–,–,–,51,8.1,85.2,0.2,13.1,5.4
Telemarketers,31,–,–,–,–,–,39,–,–,–,–,–
"Door-to-door sales workers, news and street vendors, and related workers",73,54.3,71.4,15.4,2.7,24.3,73,57.4,87.0,5.9,2.0,26.0
"Sales and related workers, all other",339,56.1,81.0,12.0,5.1,17.4,369,59.2,81.5,10.2,4.8,18.7
Office and administrative support occupations,"15,954",71.2,75.9,15.1,5.0,18.5,"16,096",71.9,76.0,15.0,5.1,18.2
First-line supervisors of office and administrative support workers,"1,154",65.8,80.6,12.5,3.5,16.6,"1,199",67.9,80.5,12.3,3.9,15.5
"Switchboard operators, including answering service",18,–,–,–,–,–,16,–,–,–,–,–
Telephone operators,17,–,–,–,–,–,26,–,–,–,–,–
"Communications equipment operators, all other",1,–,–,–,–,–,5,–,–,–,–,–
Bill and account collectors,87,71.2,66.1,25.8,5.5,15.0,103,68.8,75.0,20.6,3.6,9.3
Billing and posting clerks,436,91.4,79.0,14.8,3.8,16.5,463,87.6,77.0,14.8,4.4,17.3
"Bookkeeping, accounting, and auditing clerks","1,210",86.2,83.9,7.2,5.8,15.9,"1,132",85.0,82.5,8.7,5.7,14.9
Gambling cage workers,29,–,–,–,–,–,23,–,–,–,–,–
Payroll and timekeeping clerks,132,88.2,76.7,12.3,8.2,19.4,126,92.4,80.0,11.2,5.0,24.6
Procurement clerks,46,–,–,–,–,–,30,–,–,–,–,–
Tellers,204,78.9,75.3,15.4,4.3,16.2,218,83.1,79.8,9.4,6.2,21.3
"Financial clerks, all other",128,57.7,73.7,14.7,11.2,11.9,128,52.0,76.8,13.2,7.0,14.8
Brokerage clerks,6,–,–,–,–,–,8,–,–,–,–,–
Correspondence clerks,4,–,–,–,–,–,3,–,–,–,–,–
"Court, municipal, and license clerks",82,71.9,77.6,18.5,1.9,10.9,84,83.8,71.3,24.8,0.4,13.7
"Credit authorizers, checkers, and clerks",32,–,–,–,–,–,45,–,–,–,–,–
Customer service representatives,"2,822",65.3,72.0,18.2,5.3,19.8,"2,714",64.8,73.0,17.6,5.5,19.7
"Eligibility interviewers, government programs",94,79.7,58.9,29.2,2.6,19.9,80,75.0,61.1,24.6,6.2,22.6
File Clerks,130,76.0,79.0,15.4,4.5,17.0,127,78.6,73.9,15.0,4.1,17.4
"Hotel, motel, and resort desk clerks",106,67.5,61.9,19.4,10.6,17.8,132,66.5,64.8,15.3,8.8,24.5
"Interviewers, except eligibility and loan",205,79.6,62.3,25.2,3.0,24.9,171,78.0,70.4,18.7,4.0,19.3
"Library assistants, clerical",71,83.2,72.8,11.9,8.7,7.9,76,78.5,77.0,7.9,14.5,8.6
Loan interviewers and clerks,125,76.9,83.5,13.6,2.4,17.4,169,68.8,83.6,11.9,2.7,15.6
New accounts clerks,18,–,–,–,–,–,14,–,–,–,–,–
Order clerks,106,58.3,75.6,12.3,10.0,25.8,124,54.2,68.5,14.5,12.7,18.0
"Human resources assistants, except payroll and timekeeping",84,88.1,79.1,13.7,6.0,16.8,89,89.1,70.6,17.9,7.2,7.0
Receptionists and information clerks,"1,196",89.1,78.6,12.8,3.5,22.5,"1,171",90.3,76.8,15.5,3.9,21.6
Reservation and transportation ticket agents and travel clerks,123,45.9,69.7,19.9,7.8,19.1,112,43.1,66.9,20.4,8.4,21.5
"Information and record clerks, all other",92,77.1,68.2,17.5,4.6,18.4,93,74.5,72.4,17.1,7.6,18.0
Cargo and freight agents,26,–,–,–,–,–,29,–,–,–,–,–
Couriers and messengers,929,27.8,67.6,23.7,5.1,21.7,936,26.5,69.8,21.6,4.4,23.6
Public safety telecommunicators,76,78.2,77.0,17.5,2.0,7.2,82,82.5,72.3,18.4,3.1,11.1
"Dispatchers, except police, fire, and ambulance",184,54.4,74.4,14.3,4.5,19.2,181,58.9,78.0,17.8,2.0,22.7
"Meter readers, utilities",14,–,–,–,–,–,16,–,–,–,–,–
Postal service clerks,96,54.1,55.0,36.0,2.9,8.4,107,56.1,51.7,40.4,5.3,11.6
Postal service mail carriers,302,34.7,69.3,21.9,5.7,13.3,280,41.5,69.0,22.4,6.5,11.6
"Postal service mail sorters, processors, and processing machine operators",65,63.1,35.8,48.4,6.1,11.8,59,56.6,43.2,38.5,14.6,8.2
"Production, planning, and expediting clerks",212,43.6,81.7,6.5,7.2,16.1,212,48.9,76.3,11.3,7.8,11.3
"Shipping, receiving, and inventory clerks",621,36.8,77.8,12.5,5.5,29.1,645,37.1,75.9,13.3,7.5,28.8
"Weighers, measurers, checkers, and samplers, recordkeeping",67,48.7,75.6,15.1,0.0,32.5,59,42.5,80.7,12.8,3.3,23.8
Executive secretaries and executive administrative assistants,210,90.0,73.6,18.5,4.1,15.0,244,94.8,79.4,10.5,5.9,15.7
Legal secretaries and administrative assistants,54,96.4,71.3,18.4,6.1,15.0,46,–,–,–,–,–
Medical secretaries and administrative assistants,103,92.8,84.4,8.2,5.1,18.7,74,97.3,65.3,21.8,4.5,12.5
"Secretaries and administrative assistants, except legal, medical, and executive","1,841",91.9,82.9,11.1,3.1,14.8,"1,915",92.5,83.3,9.5,3.5,14.6
Data entry keyers,224,72.7,70.1,16.1,7.6,17.6,237,69.8,72.6,15.8,6.1,11.7
Word processors and typists,46,–,–,–,–,–,35,–,–,–,–,–
Desktop publishers,3,–,–,–,–,–,1,–,–,–,–,–
Insurance claims and policy processing clerks,308,80.1,72.3,19.2,6.1,17.9,314,84.7,67.5,25.8,3.5,17.6
"Mail clerks and mail machine operators, except postal service",44,–,–,–,–,–,53,41.5,66.4,23.2,8.8,23.3
"Office clerks, general","1,274",81.3,76.6,13.6,6.4,20.5,"1,256",84.3,76.5,14.0,5.6,20.0
"Office machine operators, except computer",29,–,–,–,–,–,29,–,–,–,–,–
Proofreaders and copy markers,7,–,–,–,–,–,7,–,–,–,–,–
Statistical assistants,16,–,–,–,–,–,17,–,–,–,–,–
"Office and administrative support workers, all other",447,68.8,77.7,12.0,5.2,18.6,582,72.4,76.7,14.2,4.6,17.9
,,,,,,,,,,,,
"Natural resources, construction, and maintenance occupations","14,326",5.8,86.1,7.8,1.8,34.5,"14,260",5.7,86.7,7.4,1.9,34.2
"Farming, fishing, and forestry occupations",987,27.1,89.7,5.1,0.9,44.6,980,26.2,89.2,4.6,1.8,44.7
"First-line supervisors of farming, fishing, and forestry workers",70,18.1,91.6,4.3,0.2,37.9,52,16.9,92.5,5.1,1.1,29.2
Agricultural inspectors,26,–,–,–,–,–,14,–,–,–,–,–
Animal breeders,15,–,–,–,–,–,9,–,–,–,–,–
"Graders and sorters, agricultural products",45,–,–,–,–,–,47,–,–,–,–,–
Miscellaneous agricultural workers,731,28.7,91.2,3.9,0.8,49.2,753,26.5,89.4,4.7,1.5,49.3
Fishing and hunting workers,26,–,–,–,–,–,32,–,–,–,–,–
Forest and conservation workers,16,–,–,–,–,–,15,–,–,–,–,–
Logging workers,58,1.7,94.0,3.4,0.0,13.6,57,6.5,89.8,4.2,0.0,6.3
Construction and extraction occupations,"8,457",4.3,86.8,7.2,1.3,40.8,"8,427",4.2,87.1,7.1,1.6,40.3
First-line supervisors of construction trades and extraction workers,702,5.1,89.1,4.8,1.4,26.6,661,4.3,91.1,4.1,1.6,25.6
Boilermakers,13,–,–,–,–,–,15,–,–,–,–,–
"Brickmasons, blockmasons, and stonemasons",117,1.5,93.4,1.1,0.0,50.5,119,3.0,87.0,8.7,1.3,46.9
Carpenters,"1,275",3.1,89.0,5.2,1.3,44.2,"1,282",3.5,88.6,5.5,1.9,41.8
"Carpet, floor, and tile installers and finishers",114,5.8,88.9,1.5,1.5,61.1,147,7.5,83.9,7.5,3.2,55.7
"Cement masons, concrete finishers, and terrazzo workers",56,4.7,89.4,1.9,0.0,50.5,70,1.0,87.6,7.6,0.0,52.5
Construction laborers,"2,223",4.5,84.0,9.1,1.3,51.9,"2,227",4.9,84.9,8.4,1.9,50.7
Construction equipment operators,395,1.0,89.8,5.7,0.7,20.7,369,1.7,88.9,5.4,0.7,18.9
"Drywall installers, ceiling tile installers, and tapers",162,4.1,86.8,7.9,0.9,74.3,161,2.8,92.8,0.8,2.2,70.3
Electricians,959,2.9,87.3,6.7,1.6,24.6,918,2.2,88.5,7.3,2.0,24.9
Glaziers,39,–,–,–,–,–,32,–,–,–,–,–
Insulation workers,59,5.0,83.8,7.5,0.4,45.6,52,5.9,82.5,15.8,0.0,44.0
Painters and paperhangers,561,10.4,90.2,5.5,0.4,60.6,644,10.5,89.8,6.8,0.7,59.1
Pipelayers,54,1.4,84.6,7.8,0.0,49.7,52,2.4,97.0,2.3,0.0,60.2
"Plumbers, pipefitters, and steamfitters",635,2.2,84.7,10.1,2.2,28.3,610,1.1,83.3,8.9,2.2,28.2
Plasterers and stucco masons,21,–,–,–,–,–,23,–,–,–,–,–
Reinforcing iron and rebar workers,11,–,–,–,–,–,9,–,–,–,–,–
Roofers,235,4.4,88.5,5.5,0.5,63.1,208,5.0,87.7,6.9,0.0,66.5
Sheet metal workers,127,6.5,85.5,9.9,1.5,16.9,131,5.1,85.1,7.0,1.1,21.8
Structural iron and steel workers,42,–,–,–,–,–,66,1.1,73.3,16.5,0.0,16.1
Solar photovoltaic installers,20,–,–,–,–,–,28,–,–,–,–,–
"Helpers, construction trades",64,6.2,88.4,5.3,1.3,51.8,54,5.4,88.5,3.2,1.0,48.4
Construction and building inspectors,115,10.5,80.9,9.4,5.4,20.6,113,11.8,85.0,9.7,4.8,12.9
Elevator and escalator installers and repairers,46,–,–,–,–,–,43,–,–,–,–,–
Fence erectors,40,–,–,–,–,–,48,–,–,–,–,–
Hazardous materials removal workers,25,–,–,–,–,–,25,–,–,–,–,–
Highway maintenance workers,93,2.2,84.3,11.0,2.6,20.8,108,3.9,83.4,12.9,0.0,18.1
Rail-track laying and maintenance equipment operators,22,–,–,–,–,–,17,–,–,–,–,–
Septic tank servicers and sewer pipe cleaners,7,–,–,–,–,–,6,–,–,–,–,–
Miscellaneous construction and related workers,65,7.5,94.9,4.1,0.0,42.4,32,–,–,–,–,–
"Derrick, rotary drill, and service unit operators, oil and gas",24,–,–,–,–,–,26,–,–,–,–,–
"Excavating and loading machine and dragline operators, surface mining",10,–,–,–,–,–,3,–,–,–,–,–
"Earth drillers, except oil and gas",25,–,–,–,–,–,27,–,–,–,–,–
"Explosives workers, ordnance handling experts, and blasters",8,–,–,–,–,–,7,–,–,–,–,–
Underground mining machine operators,38,–,–,–,–,–,33,–,–,–,–,–
"Roustabouts, oil and gas",8,–,–,–,–,–,10,–,–,–,–,–
Other extraction workers,47,–,–,–,–,–,50,2.5,86.1,5.0,0.0,28.6
"Installation, maintenance, and repair occupations","4,881",4.1,84.0,9.4,2.9,21.6,"4,853",4.2,85.7,8.5,2.4,21.6
"First-line supervisors of mechanics, installers, and repairers",239,7.1,90.3,5.6,1.8,15.2,245,5.3,87.6,5.4,2.0,12.0
"Computer, automated teller, and office machine repairers",134,13.8,71.5,14.7,10.8,9.3,177,10.4,73.2,16.3,6.3,15.1
Radio and telecommunications equipment installers and repairers,116,5.9,82.6,11.5,3.0,18.2,112,13.8,82.4,10.7,3.0,26.0
Avionics technicians,12,–,–,–,–,–,8,–,–,–,–,–
"Electric motor, power tool, and related repairers",22,–,–,–,–,–,20,–,–,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",1,–,–,–,–,–,0,–,–,–,–,–
"Electrical and electronics repairers, industrial and utility",6,–,–,–,–,–,15,–,–,–,–,–
"Electronic equipment installers and repairers, motor vehicles",5,–,–,–,–,–,10,–,–,–,–,–
Audiovisual equipment installers and repairers,26,–,–,–,–,–,26,–,–,–,–,–
Security and fire alarm systems installers,48,–,–,–,–,–,67,5.7,87.3,8.6,3.1,30.4
Aircraft mechanics and service technicians,124,4.3,83.4,9.5,5.0,21.1,149,4.6,85.5,7.1,6.4,19.3
Automotive body and related repairers,127,6.8,85.9,9.6,1.8,21.6,151,3.7,90.6,3.6,3.5,28.9
Automotive glass installers and repairers,24,–,–,–,–,–,27,–,–,–,–,–
Automotive service technicians and mechanics,933,2.5,82.9,8.1,3.5,28.7,926,2.9,84.6,8.6,2.7,28.2
Bus and truck mechanics and diesel engine specialists,334,1.6,87.4,6.9,1.8,20.6,347,1.2,85.3,7.6,1.8,21.5
Heavy vehicle and mobile equipment service technicians and mechanics,201,2.3,94.7,3.7,0.2,19.3,224,1.2,92.5,4.2,0.2,17.7
Small engine mechanics,41,–,–,–,–,–,51,2.2,88.8,7.9,2.0,6.6
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",90,3.2,93.9,4.5,0.1,22.7,81,4.5,89.9,5.4,1.7,21.0
Control and valve installers and repairers,26,–,–,–,–,–,18,–,–,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",546,2.3,86.1,9.5,0.7,23.1,472,2.3,86.0,10.2,1.6,22.4
Home appliance repairers,41,–,–,–,–,–,46,–,–,–,–,–
Industrial and refractory machinery mechanics,416,3.9,81.7,9.9,5.5,18.9,401,3.1,86.6,8.9,2.4,17.3
"Maintenance and repair workers, general",672,4.7,79.6,12.2,3.6,24.0,646,5.4,82.1,11.7,2.8,23.0
"Maintenance workers, machinery",22,–,–,–,–,–,19,–,–,–,–,–
Millwrights,42,–,–,–,–,–,40,–,–,–,–,–
Electrical power-line installers and repairers,130,2.3,94.6,4.1,0.0,13.6,119,1.5,89.9,5.2,0.9,12.1
Telecommunications line installers and repairers,160,5.3,77.2,19.2,0.6,12.9,134,4.9,86.8,8.4,0.9,22.5
Precision instrument and equipment repairers,46,–,–,–,–,–,53,10.9,85.6,9.4,4.0,16.6
Wind turbine service technicians,7,–,–,–,–,–,9,–,–,–,–,–
"Coin, vending, and amusement machine servicers and repairers",33,–,–,–,–,–,37,–,–,–,–,–
Commercial divers,1,–,–,–,–,–,3,–,–,–,–,–
Locksmiths and safe repairers,29,–,–,–,–,–,19,–,–,–,–,–
Manufactured building and mobile home installers,5,–,–,–,–,–,4,–,–,–,–,–
Riggers,14,–,–,–,–,–,10,–,–,–,–,–
"Helpers--installation, maintenance, and repair workers",18,–,–,–,–,–,15,–,–,–,–,–
"Other installation, maintenance, and repair workers",190,4.1,85.0,6.9,3.6,33.5,173,7.7,89.6,3.5,1.5,21.8
,,,,,,,,,,,,
"Production, transportation, and material moving occupations","19,986",24.9,73.2,17.8,4.8,25.1,"20,082",25.1,72.7,18.2,5.0,24.3
Production occupations,"8,280",29.9,76.1,14.7,5.4,25.6,"8,256",29.8,75.3,15.0,5.9,24.3
First-line supervisors of production and operating workers,776,23.5,76.7,14.0,6.4,18.5,799,22.7,76.6,14.9,5.3,18.3
"Aircraft structure, surfaces, rigging, and systems assemblers",10,–,–,–,–,–,6,–,–,–,–,–
"Electrical, electronics, and electromechanical assemblers",114,45.9,60.0,24.8,14.9,24.9,102,49.3,67.5,13.5,18.7,25.1
Engine and other machine assemblers,15,–,–,–,–,–,8,–,–,–,–,–
Structural metal fabricators and fitters,22,–,–,–,–,–,20,–,–,–,–,–
Other assemblers and fabricators,"1,048",37.1,67.8,21.3,7.3,25.5,"1,047",37.5,66.0,21.5,7.7,23.9
Bakers,233,65.5,80.2,7.4,5.6,37.1,230,63.6,77.5,10.0,8.5,31.7
"Butchers and other meat, poultry, and fish processing workers",243,27.6,72.0,16.3,7.3,36.6,252,25.4,70.7,18.3,7.5,33.2
"Food and tobacco roasting, baking, and drying machine operators and tenders",8,–,–,–,–,–,9,–,–,–,–,–
Food batchmakers,79,55.7,80.7,14.7,3.6,32.3,94,58.1,77.6,12.7,5.1,24.7
Food cooking machine operators and tenders,10,–,–,–,–,–,13,–,–,–,–,–
"Food processing workers, all other",140,27.3,69.6,22.1,3.1,39.9,142,36.4,66.6,17.4,6.2,38.6
Computer numerically controlled tool operators and programmers,100,7.8,82.2,6.8,6.1,23.3,78,10.3,80.0,9.9,6.9,22.4
"Forming machine setters, operators, and tenders, metal and plastic",34,–,–,–,–,–,30,–,–,–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",74,7.0,88.9,8.2,0.7,21.7,60,13.7,82.1,13.4,0.0,17.8
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",38,–,–,–,–,–,25,–,–,–,–,–
"Other machine tool setters, operators, and tenders, metal and plastic",6,–,–,–,–,–,13,–,–,–,–,–
Machinists,307,6.3,82.9,6.0,7.5,13.3,313,6.8,88.2,5.7,3.5,13.0
"Metal furnace operators, tenders, pourers, and casters",16,–,–,–,–,–,18,–,–,–,–,–
"Model makers and patternmakers, metal and plastic",4,–,–,–,–,–,0,–,–,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",29,–,–,–,–,–,20,–,–,–,–,–
Tool and die makers,39,–,–,–,–,–,40,–,–,–,–,–
"Welding, soldering, and brazing workers",559,5.8,82.6,11.1,2.3,26.4,550,5.1,82.7,10.2,2.9,25.5
Other metal workers and plastic workers,361,20.8,73.8,16.0,7.5,21.1,387,20.3,71.0,16.1,8.6,22.2
Prepress technicians and workers,15,–,–,–,–,–,21,–,–,–,–,–
Printing press operators,148,24.7,80.9,14.7,3.8,22.0,151,29.0,76.3,13.2,5.5,21.6
Print binding and finishing workers,13,–,–,–,–,–,7,–,–,–,–,–
Laundry and dry-cleaning workers,121,74.5,76.6,13.0,5.3,44.4,115,70.5,68.9,20.4,10.0,37.2
"Pressers, textile, garment, and related materials",28,–,–,–,–,–,21,–,–,–,–,–
Sewing machine operators,129,70.7,82.7,10.9,4.4,41.1,131,69.9,73.6,14.0,7.7,32.4
Shoe and leather workers,13,–,–,–,–,–,11,–,–,–,–,–
"Tailors, dressmakers, and sewers",51,81.4,79.9,6.3,12.5,28.6,58,78.2,72.8,6.6,18.0,19.4
"Textile machine setters, operators, and tenders",21,–,–,–,–,–,19,–,–,–,–,–
Upholsterers,17,–,–,–,–,–,18,–,–,–,–,–
"Other textile, apparel, and furnishings workers",14,–,–,–,–,–,19,–,–,–,–,–
Cabinetmakers and bench carpenters,60,5.5,91.6,3.3,0.7,16.4,71,10.3,97.3,2.2,0.0,30.6
Furniture finishers,16,–,–,–,–,–,14,–,–,–,–,–
"Sawing machine setters, operators, and tenders, wood",23,–,–,–,–,–,27,–,–,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",28,–,–,–,–,–,15,–,–,–,–,–
Other woodworkers,27,–,–,–,–,–,25,–,–,–,–,–
"Power plant operators, distributors, and dispatchers",46,–,–,–,–,–,23,–,–,–,–,–
Stationary engineers and boiler operators,73,7.1,83.5,11.2,3.1,16.5,85,3.3,77.9,12.4,6.5,13.8
Water and wastewater treatment plant and system operators,89,7.3,84.5,11.5,0.0,12.7,93,6.7,88.1,8.8,0.6,11.0
Miscellaneous plant and system operators,37,–,–,–,–,–,38,–,–,–,–,–
"Chemical processing machine setters, operators, and tenders",45,–,–,–,–,–,73,9.7,79.6,12.6,3.0,18.0
"Crushing, grinding, polishing, mixing, and blending workers",87,15.5,70.8,14.8,6.1,24.1,76,10.5,81.3,9.2,3.2,28.7
