Occupation,Number_of_workers_2023,Median_weekly_earnings_2023,Number_of_workers_2022,Median_weekly_earnings_2022
Environmental science and geoscience technicians,13,–,10,–
Nuclear technicians,8,–,4,–
Social science research assistants,4,–,3,–
"Other life, physical, and social science technicians",240,"1,306",245,"1,240"
Occupational health and safety specialists and technicians,63,"1,437",79,"1,500"
Community and social service occupations,"2,334","1,147","2,378","1,128"
Substance abuse and behavioral disorder counselors,103,"1,138",112,945
"Educational, guidance, and career counselors and advisors",338,"1,167",362,"1,157"
Marriage and family therapists,14,–,12,–
Mental health counselors,123,"1,316",103,"1,150"
Rehabilitation counselors,13,–,19,–
"Counselors, all other",182,"1,070",168,"1,038"
"Child, family, and school social workers",64,"1,064",58,"1,099"
Healthcare social workers,68,"1,028",78,"1,142"
Mental health and substance abuse social workers,11,–,17,–
"Social workers, all other",654,"1,233",660,"1,130"
Probation officers and correctional treatment specialists,79,"1,196",78,"1,325"
Social and human service assistants,200,963,192,979
Other community and social service specialists,82,"1,045",85,"1,032"
Clergy,308,"1,084",347,"1,170"
"Directors, religious activities and education",58,"1,244",49,–
"Religious workers, all other",37,–,37,–
Legal occupations,"1,490","1,880","1,430","1,763"
Lawyers,887,"2,438",806,"2,420"
Judicial law clerks,13,–,21,–
"Judges, magistrates, and other judicial workers",66,"2,196",61,"1,997"
Paralegals and legal assistants,371,"1,159",388,"1,137"
"Title examiners, abstractors, and searchers",83,"1,143",93,"1,208"
"Legal support workers, all other",70,"1,320",62,"1,223"
"Education, training, and library occupations","7,524","1,180","7,330","1,148"
Postsecondary teachers,828,"1,723",863,"1,634"
Preschool and kindergarten teachers,523,791,518,750
Elementary and middle school teachers,"3,117","1,243","3,073","1,170"
Secondary school teachers,859,"1,271",873,"1,249"
Special education teachers,308,"1,164",342,"1,219"
Tutors,28,–,25,–
Other teachers and instructors,584,"1,165",447,"1,143"
"Archivists, curators, and museum technicians",57,"1,289",51,"1,253"
Librarians and media collections specialists,117,"1,118",125,"1,092"
Library technicians,15,–,23,–
Teaching assistants,940,698,869,662
Other educational instruction and library workers,148,"1,310",121,"1,250"
"Arts, design, entertainment, sports, and media occupations","1,858","1,343","1,889","1,273"
Artists and related workers,94,"1,543",116,"1,427"
Commercial and industrial designers,13,–,9,–
Fashion designers,25,–,16,–
Floral designers,25,–,22,–
Graphic designers,248,"1,253",224,"1,153"
Interior designers,50,"1,256",64,"1,332"
Merchandise displayers and window trimmers,18,–,22,–
Other designers,272,"1,482",282,"1,431"
Actors,17,–,17,–
Producers and directors,130,"1,467",137,"1,473"
Athletes and sports competitors,28,–,38,–
Coaches and scouts,113,"1,168",132,"1,156"
"Umpires, referees, and other sports officials",2,–,4,–
Dancers and choreographers,5,–,6,–
Music directors and composers,18,–,9,–
Musicians and singers,36,–,31,–
"Disc jockeys, except radio",12,–,4,–
"Entertainers and performers, sports and related workers, all other",6,–,19,–
Broadcast announcers and radio disc jockeys,20,–,18,–
"News analysts, reporters, and journalists",46,–,57,"1,163"
Public relations specialists,126,"1,544",105,"1,492"
Editors,82,"1,440",68,"1,541"
